Student_ID,Age,Gender,University_Year,Major,Attendance_Percentage,Study_Hours_Per_Week,CGPA,Academic_Performance,Programming_Skill
ST000001,22,Male,Sophomore,Computer Science,86,21,3.28,Good,9
ST000002,20,Female,Freshman,Computer Science,64,18,2.53,Poor,6
ST000003,23,Male,Senior,Information Technology,75,19,2.83,Average,8
ST000004,23,Female,Senior,Information Technology,80,19,2.8,Average,5
ST000005,23,Female,Senior,Software Engineering,73,19,2.93,Average,9
ST000006,21,Male,Senior,Computer Science,85,32,3.41,Good,9
ST000007,21,Male,Junior,Artificial Intelligence,73,18,3.0,Average,8
ST000008,23,Male,Freshman,Business Analytics,82,20,2.87,Average,4
ST000009,23,Female,Freshman,Computer Science,82,39,3.48,Good,8
ST000010,30,Male,Junior,Information Technology,72,18,2.85,Average,5
ST000011,21,Male,Junior,Data Science,84,31,3.13,Average,7
ST000012,22,Male,Sophomore,Computer Science,84,16,3.32,Good,8
ST000013,22,Female,Freshman,Software Engineering,79,16,2.8,Average,7
ST000014,24,Female,Junior,Data Science,71,25,2.94,Average,8
ST000015,20,Male,Junior,Computer Science,73,23,2.98,Average,6
ST000016,25,Male,Junior,Software Engineering,87,29,3.53,Good,10
ST000017,22,Male,Junior,Computer Science,77,29,3.19,Average,6
ST000018,22,Male,Senior,Cybersecurity,75,27,2.98,Average,7
ST000019,20,Male,Sophomore,Computer Science,100,29,3.42,Good,7
ST000020,22,Female,Freshman,Computer Science,98,11,3.14,Average,7
ST000021,23,Male,Junior,Software Engineering,83,26,3.48,Good,8
ST000022,23,Female,Freshman,Computer Science,85,17,3.21,Good,8
ST000023,21,Male,Sophomore,Computer Science,87,20,3.15,Average,8
ST000024,21,Male,Junior,Cybersecurity,73,36,3.11,Average,6
ST000025,18,Male,Junior,Software Engineering,73,19,2.94,Average,7
ST000026,22,Male,Senior,Business Analytics,85,32,3.54,Good,6
ST000027,24,Female,Senior,Artificial Intelligence,88,19,3.22,Good,8
ST000028,23,Male,Junior,Business Analytics,100,16,3.23,Good,5
ST000029,20,Female,Junior,Computer Science,68,34,3.29,Good,7
ST000030,23,Male,Sophomore,Artificial Intelligence,71,21,2.9,Average,8
ST000031,21,Male,Freshman,Business Analytics,100,34,3.72,Excellent,7
ST000032,20,Female,Senior,Cybersecurity,97,22,3.67,Good,7
ST000033,22,Female,Sophomore,Computer Science,76,14,2.82,Average,8
ST000034,23,Female,Sophomore,Cybersecurity,75,23,2.99,Average,7
ST000035,22,Male,Freshman,Computer Science,87,24,3.74,Excellent,10
ST000036,28,Female,Senior,Computer Science,81,32,3.34,Good,7
ST000037,22,Male,Junior,Data Science,75,18,2.81,Average,6
ST000038,18,Female,Junior,Information Technology,82,27,2.99,Average,7
ST000039,23,Female,Sophomore,Artificial Intelligence,81,13,2.81,Average,8
ST000040,24,Female,Sophomore,Software Engineering,87,20,3.24,Good,8
ST000041,22,Female,Senior,Electrical Engineering,84,36,3.61,Good,6
ST000042,22,Female,Sophomore,Computer Science,90,6,2.97,Average,8
ST000043,19,Male,Junior,Computer Science,90,16,3.17,Average,7
ST000044,20,Female,Junior,Data Science,90,31,3.55,Good,10
ST000045,21,Female,Senior,Software Engineering,83,27,3.33,Good,9
